time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg
12.007568,8.956386,6.809277,1.2152644,0.9248403,0.7929057,-0.25588492,-0.6890965490988438,1.5791658169448046,-72.6074167836444
12.106546,9.05965,6.901498,1.2157763,0.9301243,0.8101544,-0.2717491,-1.369166203398852,1.275138677087112,-72.4084221333015
12.205572,9.164159,6.9962487,1.215918,0.893957,0.8335811,-0.28854352,-1.283004297053984,1.257321473554354,-72.23919539100565
12.3046,9.266803,7.088485,1.2114096,0.9186814,0.8005466,-0.30716142,-1.5607926241010222,1.31648662055163,-72.20262879061221
12.403606,9.36672,7.1806746,1.2117234,0.9267265,0.7897984,-0.26136345,-1.4788463430153493,1.7502287673310084,-72.2550212742814
12.502618,9.465859,7.273741,1.2150258,0.9244073,0.8007755,-0.26705006,-1.355534470723643,1.802733824726564,-72.2714207037182
12.601559,9.565231,7.36686,1.219203,0.9302166,0.7912191,-0.24197702,-0.4920110696183868,1.732217551539333,-72.130268816939
12.709595,9.671876,7.4684114,1.2235813,0.91995734,0.80469817,-0.2507952,-1.1459722858236825,1.642411100086411,-71.8000662857699
12.799608,9.760586,7.552768,1.2256218,0.9090095,0.8077125,-0.24455227,-0.8831659451993504,1.2914378754746512,-71.4751233800438
12.907711,9.863907,7.65459,1.22926,0.924489,0.8313198,-0.25607222,-0.8176010745044221,1.5619174682768973,-71.15717359319125
13.00662,9.965326,7.752997,1.2340469,0.92411447,0.8015718,-0.22588556,-1.3383779036203747,1.4018256961829931,-70.87405626086513
13.105709,10.063005,7.8477707,1.238718,0.91630155,0.8147407,-0.22420043,-0.7153763960675645,1.499823723679312,-70.58398645753952
13.204669,10.160858,7.9429536,1.2425599,0.8680058,0.8711563,-0.23880833,-0.7883380103639722,1.5270540656966205,-70.1959578793112
13.303761,10.258447,8.038696,1.2432008,0.8822466,0.8538249,-0.25796857,-1.2127071744907119,1.5305296329690437,-69.83582218760884
13.40269,10.3516245,8.131299,1.245896,0.906871,0.8553547,-0.24727221,-1.1405730740084352,1.6812999142138478,-69.4697632574758
13.501699,10.445881,8.225325,1.2506192,0.9411219,0.83272564,-0.21437617,-0.5222633420601612,2.2166668997579397,-68.98674093654908
13.609941,10.549627,8.329792,1.2569613,0.8743067,0.82895803,-0.22925778,-1.37390989747704,2.0662901563020473,-68.56477452450217
13.699767,10.634927,8.41774,1.2614478,0.8423986,0.85854906,-0.23817387,-1.3826513750045932,1.6677649821636937,-68.313500485711
13.807706,10.73536,8.523662,1.2661809,0.9081025,0.8439484,-0.2236232,-1.1864150993330416,1.4313872552537377,-68.18744826757293
13.907047,10.826157,8.617767,1.2685332,0.8796071,0.8059981,-0.25467548,-1.069020753341051,1.613424919267403,-68.10432188466393
14.005786,10.914277,8.709318,1.2735295,0.8732038,0.84266764,-0.2742049,-1.2275508066772842,1.1096387629385829,-67.8241538653578
14.104834,11.00444,8.803467,1.2745907,0.8433588,0.80945575,-0.27692318,-1.1388739839550746,0.9412495894077552,-67.45312117384496
14.203798,11.092674,8.893262,1.2709361,0.8042932,0.8199286,-0.36064106,-0.5864245160399999,0.9618033678162088,-67.07391321706622
14.302853,11.179092,8.98151,1.2639817,0.85000193,0.7933888,-0.3009593,-0.5643373357940219,1.123496653901675,-66.66589276636051
14.40181,11.26738,9.072297,1.2629724,0.81142396,0.86118394,-0.3027442,0.2827825922217404,1.9792472309090496,-66.39013044165145
14.500878,11.355856,9.16233,1.2669221,0.84113246,0.8116407,-0.23062052,0.17728664231224978,2.045423838159304,-65.91079300861408
14.608822,11.452637,9.258518,1.272515,0.84105563,0.8114475,-0.2945178,-0.6342560910601223,1.933140297805124,-65.39812989775538
14.707909,11.540988,9.346218,1.2746063,0.82227045,0.8510427,-0.29216453,-0.8169600176884854,1.866478516015421,-65.00228934231872
14.80713,11.627865,9.432902,1.2744519,0.89054585,0.8601793,-0.30538988,0.020523486017246077,1.6381323837200732,-64.77834248078972
14.906016,11.713376,9.516421,1.2724675,0.80631477,0.873328,-0.32250103,0.37133987260996415,1.6889579833299355,-64.70525982760702
15.004932,11.802408,9.603473,1.2720329,0.8863407,0.83425075,-0.29469168,0.6942979102663991,1.6951514834178958,-64.53823652483173
15.104168,11.888487,9.690086,1.2705377,0.8394458,0.88841146,-0.33468997,0.19896331213152893,1.7845893434690865,-64.4139959248847
15.2029,11.974279,9.773118,1.2671973,0.8915458,0.8381771,-0.31954235,-1.1193877084944641,1.454693681733811,-64.26861521928522
15.301993,12.058003,9.850783,1.2646849,0.8024577,0.81397027,-0.2915775,-3.984665290572523,0.42227292115528836,-64.00132558037775
15.401274,12.134334,9.923848,1.270385,0.7512556,0.74379045,-0.17682534,-7.27769808768301,-0.7239307296512136,-63.692419623808135
15.508988,12.211653,9.994953,1.2921175,0.6671926,0.6322692,-0.067632414,-10.615169707274491,-1.6355634198155466,-63.48584591720962
15.607955,12.270716,10.049606,1.3263112,0.5453638,0.49093467,0.12812044,-13.552587851839911,-2.6050309039719157,-63.17485369979492
15.707295,12.316837,10.0924635,1.3741666,0.41024834,0.330909,0.2864527,-15.845888838064301,-3.1088191875416453,-62.97221760889929
15.806064,12.349978,10.12844,1.4222898,0.3020051,0.39202443,0.13528074,-10.642340831200887,0.16850878630177224,-63.992741979296945
15.904997,12.376743,10.159707,1.4556442,0.21745844,0.25018737,-0.11132385,-2.340727580216791,1.2623828840829603,-64.40550998072104
16.00432,12.391099,10.1758375,1.4500686,0.13551927,0.13870232,-0.27576908,-4.440154006996077,1.1442760386714406,-64.7567237121777
16.103076,12.404473,10.193307,1.4563658,0.16178356,0.11813846,-0.13796133,-2.870963753746369,1.149539621645686,-66.01433792563425
16.202141,12.412249,10.203477,1.4587505,0.04119656,0.100789525,-0.23571837,-2.4785720689994566,1.161738668614125,-66.17500314011933
16.301417,12.409647,10.207266,1.4565125,-0.008698931,0.09396542,-0.24384521,-2.514565732854625,1.132128303119136,-66.32342871307446
